Unnamed: 0_x,광역시도,시군,pop,moon,hong,ahn,ID,rate_moon,rate_hong,rate_ahn,Unnamed: 0_y,y,x,moon_vs_hong,moon_vs_ahn,ahn_vs_hong
0,서울특별시,종로구,102566.0,42512.0,22325.0,22313.0,서울 종로,41.44843320398572,21.766472320262075,21.75477253670807,34,4,6,19.681960883723647,19.69366066727765,-0.011699783554004028
1,서울특별시,중구,82852.0,34062.0,17901.0,19372.0,서울 중구,41.11186211557959,21.605996234249023,23.381451262492153,45,5,6,19.505865881330568,17.730410853087438,1.7754550282431296
2,서울특별시,용산구,148157.0,58081.0,35230.0,32109.0,서울 용산,39.202332660623526,23.778829214954406,21.672280081265143,56,6,6,15.42350344566912,17.530052579358383,-2.1065491336892634
3,서울특별시,성동구,203175.0,86686.0,40566.0,45674.0,서울 성동,42.66568229358927,19.966039128829827,22.48012796850006,46,5,7,22.699643164759443,20.18555432508921,2.514088839670233
4,서울특별시,광진구,240030.0,105512.0,46368.0,52824.0,서울 광진,43.957838603507895,19.31758530183727,22.00724909386327,57,6,7,24.640253301670626,21.950589509644626,2.689663792026
5,서울특별시,동대문구,236092.0,98958.0,51631.0,53359.0,서울 동대문,41.91501618013317,21.86901716280094,22.60093522863968,35,4,7,20.04599901733223,19.31408095149349,0.731918065838741
6,서울특별시,중랑구,265706.0,111450.0,56545.0,62778.0,서울 중랑,41.9448563449828,21.28103994640693,23.626865783986812,36,4,8,20.66381639857587,18.31799056099599,2.3458258375798806
7,서울특별시,성북구,295866.0,129263.0,57584.0,66518.0,서울 성북,43.6897108826293,19.462864945617273,22.482475174572272,24,3,6,24.226845937012026,21.207235708057027,3.019610228954999
8,서울특별시,강북구,210614.0,89645.0,42268.0,51669.0,서울 강북,42.563647240924155,20.068941285954402,24.532557189930394,23,3,5,22.494705954969753,18.03109005099376,4.463615903975992
9,서울특별시,도봉구,229233.0,94898.0,47461.0,55600.0,서울 도봉,41.39805350887525,20.70426160282333,24.254797520426816,14,2,5,20.69379190605192,17.143255988448434,3.5505359176034865
10,서울특별시,노원구,374213.0,158167.0,67590.0,96325.0,서울 노원,42.26657010846764,18.061905919890545,25.74068779010884,15,2,6,24.204664188577095,16.5258823183588,7.678781870218295
11,서울특별시,은평구,317275.0,140180.0,60109.0,72582.0,서울 은평,44.18249152943031,18.9453943739658,22.87668426443937,43,5,4,25.237097155464507,21.30580726499094,3.9312898904735682
12,서울특별시,서대문구,212076.0,93768.0,40513.0,46237.0,서울 서대문,44.214338256096866,19.103057394518945,21.802089816858107,33,4,5,25.11128086157792,22.41224843923876,2.6990324223391617
13,서울특별시,마포구,256992.0,117336.0,46547.0,52545.0,서울 마포,45.65745237205827,18.11223695679243,20.446161748225624,44,5,5,27.545215415265844,25.21129062383265,2.333924791433194
14,서울특별시,양천구,310886.0,133853.0,60814.0,71816.0,서울 양천,43.05533217964141,19.56151129352882,23.100429096196034,65,7,4,23.49382088611259,19.954903083445377,3.538917802667214
15,서울특별시,강서구,397108.0,175882.0,76601.0,88128.0,서울 강서,44.290721919477825,19.28971463682424,22.19245142379403,54,6,4,25.001007282653585,22.098270495683796,2.9027367869697898
16,서울특별시,구로구,278805.0,121077.0,59194.0,61734.0,서울 구로,43.42712648625383,21.23132655440182,22.1423575617367,87,9,4,22.19579993185201,21.284768924517135,0.9110310073348771
17,서울특별시,금천구,155010.0,67423.0,31106.0,36695.0,서울 금천,43.49590349009741,20.06709244564867,23.672666279594864,76,8,5,23.428811044448743,19.823237210502548,3.6055738339461954
18,서울특별시,영등포구,248833.0,105834.0,53615.0,53994.0,서울 영등포,42.53214002965844,21.546579432792274,21.698890420482815,75,8,4,20.98556059686617,20.833249609175628,0.15231098769054086
19,서울특별시,동작구,276685.0,121722.0,54431.0,60305.0,서울 동작,43.99298841643024,19.67255181885538,21.795543668793034,55,6,5,24.320436597574858,22.197444747637203,2.122991849937655
20,서울특별시,관악구,351240.0,159854.0,59914.0,79495.0,서울 관악,45.51133128345291,17.057852180845007,22.632672816307938,66,7,5,28.453479102607904,22.878658467144973,5.574820635462931
21,서울특별시,서초구,292916.0,106416.0,74891.0,63977.0,서울 서초,36.32986931406956,25.56739816193038,21.84141528629368,67,7,6,10.762471152139181,14.48845402777588,-3.7259828756366993
22,서울특별시,강남구,365642.0,128927.0,97639.0,80201.0,서울 강남,35.26044601003167,26.703442164740377,21.934296388270493,77,8,6,8.557003845291295,13.326149621761179,-4.769145776469884
23,서울특별시,송파구,441198.0,177328.0,98549.0,99018.0,서울 송파,40.192385278265085,22.33668330318814,22.44298478234262,58,6,8,17.855701975076947,17.749400495922465,0.10630147915448163
24,서울특별시,강동구,297476.0,122511.0,65893.0,67499.0,서울 강동,41.18349043284164,22.150694509809192,22.69056999556267,47,5,8,19.032795923032445,18.49292043727897,0.5398754857534769
25,부산광역시,중구,28604.0,9918.0,10684.0,4675.0,부산 중구,34.673472241644525,37.35141938190463,16.34386799049084,199,18,11,-2.677947140260102,18.329604251153686,-21.007551391413788
26,부산광역시,서구,71446.0,24522.0,26360.0,11868.0,부산 서구,34.322425328219914,36.894997620580575,16.61114688016124,208,19,9,-2.572572292360661,17.711278448058675,-20.283850740419336
27,부산광역시,동구,58304.0,19606.0,22188.0,9815.0,부산 동구,33.62719538968167,38.05570801317234,16.834179473106474,198,18,10,-4.4285126234906755,16.793015916575193,-21.22152854006587
28,부산광역시,영도구,78013.0,30094.0,25345.0,13082.0,부산 영도,38.575622011716,32.48817504774845,16.76900003845513,220,20,10,6.087446963967551,21.80662197326087,-15.71917500929332
29,부산광역시,부산진구,246124.0,95042.0,79545.0,40636.0,부산 부산진,38.61549462872374,32.31907493783621,16.510376883197086,186,17,10,6.296419690887525,22.105117745526652,-15.808698054639127
30,부산광역시,동래구,181098.0,67947.0,59616.0,30208.0,부산 동래,37.51946459927774,32.91919292316867,16.680471347005486,176,16,11,4.600271676109067,20.838993252272253,-16.238721576163186
31,부산광역시,남구,181922.0,68566.0,59137.0,30943.0,부산 남구,37.68977913611328,32.50678862369587,17.00893789646112,210,19,11,5.182990512417412,20.68084123965216,-15.497850727234749
32,부산광역시,북구,203689.0,83611.0,61175.0,32712.0,부산 북구,41.04836294547079,30.033531511274543,16.059777405750925,185,17,9,11.01483143419625,24.988585539719868,-13.973754105523618
33,부산광역시,해운대구,266870.0,102106.0,80904.0,48325.0,부산 해운대,38.260576310563195,30.31588413834451,18.108067598456177,188,17,12,7.944692172218684,20.152508712107018,-12.207816539888334
34,부산광역시,기장군,94393.0,39412.0,26556.0,15909.0,부산 기장,41.75309609822762,28.13344209846069,16.854004004534236,177,16,12,13.619653999766932,24.899092093693387,-11.279438093926455
35,부산광역시,사하구,211876.0,82452.0,65252.0,36713.0,부산 사하,38.91521455945931,30.797258773999886,17.3275878343937,209,19,10,8.117955785459422,21.587626725065608,-13.469670939606186
36,부산광역시,금정구,164127.0,60169.0,54418.0,26729.0,부산 금정,36.660025468082644,33.156031609668126,16.28555935342753,175,16,10,3.5039938584145176,20.374466114655114,-16.870472256240596
37,부산광역시,강서구,68633.0,30783.0,18711.0,10629.0,부산 강서,44.851601999038365,27.26239564058106,15.486719216703335,196,18,8,17.589206358457304,29.36488278233503,-11.775676423877727
38,부산광역시,연제구,137602.0,52454.0,44221.0,23321.0,부산 연제,38.12008546387407,32.13688754523917,16.94815482333106,187,17,11,5.9831979186349,21.17193064054301,-15.18873272190811
39,부산광역시,수영구,119064.0,43702.0,39832.0,20319.0,부산 수영,36.70462944298865,33.45427669152725,17.065611771820198,221,20,11,3.2503527514613992,19.63901767116845,-16.38866491970705
40,부산광역시,사상구,149868.0,61743.0,46540.0,23023.0,부산 사상,41.19825446392826,31.05399418154643,15.3621853898097,197,18,9,10.144260282381829,25.83606907411856,-15.69180879173673
41,대구광역시,중구,52180.0,11477.0,24698.0,7170.0,대구 중구,21.995017247987736,47.33231123035646,13.740896895362209,152,14,9,-25.337293982368724,8.254120352625527,-33.591414334994255
42,대구광역시,동구,226510.0,47350.0,100166.0,31351.0,대구 동구,20.904154341971655,44.221447176725086,13.840890026930378,164,15,10,-23.31729283475343,7.063264315041277,-30.380557149794708
43,대구광역시,서구,127659.0,22004.0,68782.0,17808.0,대구 서구,17.236544231115708,53.879475790974396,13.94966277348248,162,15,8,-36.64293155985869,3.2868814576332284,-39.92981301749192
44,대구광역시,남구,100059.0,19862.0,50304.0,13978.0,대구 남구,19.85028832988537,50.27433814049711,13.969757842872705,163,15,9,-30.424049810611738,5.880530487012665,-36.304580297624405
45,대구광역시,북구,276725.0,62526.0,121368.0,42369.0,대구 북구,22.59499503116813,43.85870449001716,15.310868190441774,151,14,8,-21.263709458849032,7.284126840726355,-28.547836299575387
46,대구광역시,수성구,285528.0,64922.0,123074.0,43698.0,대구 수성,22.737524866212773,43.104003810484436,15.304278389509959,153,14,10,-20.366478944271662,7.433246476702815,-27.799725420974475
47,대구광역시,달서구,374766.0,82726.0,165781.0,57956.0,대구 달서,22.074040868168403,44.235869849452726,15.464583233270895,173,16,8,-22.161828981284323,6.609457634897508,-28.771286616181833
48,대구광역시,달성군,137920.0,31753.0,60032.0,21427.0,대구 달성,23.02276682134571,43.52668213457076,15.535817865429236,174,16,9,-20.503915313225054,7.486948955916473,-27.990864269141525
49,인천광역시,중구,69220.0,28030.0,16139.0,15405.0,인천 중구,40.494076856399886,23.31551574689396,22.2551285755562,84,9,1,17.178561109505925,18.238948280843687,-1.0603871713377622
50,인천광역시,동구,44672.0,16501.0,11446.0,10479.0,인천 동구,36.93812679083094,25.62231375358166,23.457646848137536,62,7,1,11.315813037249281,13.480479942693407,-2.1646669054441254
51,인천광역시,남구,254020.0,96338.0,60603.0,61034.0,인천 남구,37.92536020785765,23.857570270057476,24.027241949452797,85,9,2,14.067789937800175,13.898118258404853,0.16967167939532146
